end,Revenues,NetIncomeLoss,Assets
2019-06-29,,10044000000,322239000000.0
2019-06-29,,10044000000,322239000000.0
2019-06-29,,10044000000,322239000000.0
2019-06-29,,10044000000,322239000000.0
2019-09-28,,55256000000,338516000000.0
2019-09-28,,55256000000,338516000000.0
2019-09-28,,55256000000,338516000000.0
2019-09-28,,55256000000,338516000000.0
2019-09-28,,55256000000,338516000000.0
2019-09-28,,55256000000,338516000000.0
2019-09-28,,55256000000,338516000000.0
2019-09-28,,55256000000,338516000000.0
2019-09-28,,55256000000,338516000000.0
2019-09-28,,55256000000,338516000000.0
2019-09-28,,55256000000,338516000000.0
2019-09-28,,55256000000,338516000000.0
2019-09-28,,55256000000,338516000000.0
2019-09-28,,55256000000,338516000000.0
2019-09-28,,55256000000,338516000000.0
2019-09-28,,13686000000,338516000000.0
2019-09-28,,13686000000,338516000000.0
2019-09-28,,13686000000,338516000000.0
2019-09-28,,13686000000,338516000000.0
2019-09-28,,13686000000,338516000000.0
2019-09-28,,13686000000,338516000000.0
2019-09-28,,13686000000,338516000000.0
2019-09-28,,13686000000,338516000000.0
2019-09-28,,13686000000,338516000000.0
2019-09-28,,13686000000,338516000000.0
2019-12-28,,22236000000,340618000000.0
2019-12-28,,22236000000,340618000000.0
2019-12-28,,22236000000,340618000000.0
2020-03-28,,33485000000,320400000000.0
2020-03-28,,33485000000,320400000000.0
2020-03-28,,11249000000,320400000000.0
2020-03-28,,11249000000,320400000000.0
2020-03-28,,11249000000,320400000000.0
2020-06-27,,44738000000,317344000000.0
2020-06-27,,44738000000,317344000000.0
2020-06-27,,11253000000,317344000000.0
2020-06-27,,11253000000,317344000000.0
2020-06-27,,11253000000,317344000000.0
2020-09-26,,57411000000,323888000000.0
2020-09-26,,57411000000,323888000000.0
2020-09-26,,57411000000,323888000000.0
2020-09-26,,57411000000,323888000000.0
2020-09-26,,57411000000,323888000000.0
2020-09-26,,57411000000,323888000000.0
2020-09-26,,57411000000,323888000000.0
2020-09-26,,57411000000,323888000000.0
2020-09-26,,57411000000,323888000000.0
2020-09-26,,57411000000,323888000000.0
2020-09-26,,57411000000,323888000000.0
2020-09-26,,57411000000,323888000000.0
2020-09-26,,57411000000,323888000000.0
2020-09-26,,57411000000,323888000000.0
2020-09-26,,57411000000,323888000000.0
2020-09-26,,12673000000,323888000000.0
2020-09-26,,12673000000,323888000000.0
2020-09-26,,12673000000,323888000000.0
2020-09-26,,12673000000,323888000000.0
2020-09-26,,12673000000,323888000000.0
2020-12-26,,28755000000,354054000000.0
2020-12-26,,28755000000,354054000000.0
2021-03-27,,52385000000,337158000000.0
